SIZE:100, BEST, QUICKSORT, 0.0003809
SIZE:100, WORST, QUICKSORT, 0.0003784
SIZE:100, AVG, BUBBLESORT, 0.0001264
SIZE:100, BEST, BUBBLESORT, 6e-07
SIZE:100, WORST, BUBBLESORT, 0.0001443
SIZE:100, AVG, INSERTIONSORT, 3.93e-05
SIZE:100, BEST, INSERTIONSORT, 1.9e-06
SIZE:100, WORST, INSERTIONSORT, 7.82e-05
SIZE:100, AVG, SELECTIONNSORT, 4.68e-05
SIZE:100, BEST, SELECTIONSORT, 4.1e-05
SIZE:100, WORST, SELECTIONNSORT, 9.87e-05
SIZE:100, AVG, QUICKSORT, 0.0007756
SIZE:100, BEST, QUICKSORT, 0.0003925
SIZE:100, WORST, QUICKSORT, 0.0003503
SIZE:100, AVG, BUBBLESORT, 0.0001093
SIZE:100, BEST, BUBBLESORT, 6e-07
SIZE:100, WORST, BUBBLESORT, 0.0001312
SIZE:100, AVG, INSERTIONSORT, 3.94e-05
SIZE:100, BEST, INSERTIONSORT, 1.9e-06
SIZE:100, WORST, INSERTIONSORT, 7.79e-05
SIZE:100, AVG, SELECTIONNSORT, 4.65e-05
SIZE:100, BEST, SELECTIONSORT, 4.1e-05
SIZE:100, WORST, SELECTIONNSORT, 4.5e-05
SIZE:100, AVG, QUICKSORT, 0.0006184
SIZE:100, BEST, QUICKSORT, 0.0003954
SIZE:100, WORST, QUICKSORT, 0.0003625
SIZE:100, AVG, BUBBLESORT, 0.000115
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001362
SIZE:100, AVG, INSERTIONSORT, 4.26e-05
SIZE:100, BEST, INSERTIONSORT, 2e-06
SIZE:100, WORST, INSERTIONSORT, 7.84e-05
SIZE:100, AVG, SELECTIONNSORT, 4.83e-05
SIZE:100, BEST, SELECTIONSORT, 4.13e-05
SIZE:100, WORST, SELECTIONNSORT, 4.73e-05
SIZE:100, AVG, QUICKSORT, 0.0006325
SIZE:100, BEST, QUICKSORT, 0.0004108
SIZE:100, WORST, QUICKSORT, 0.0003502
SIZE:100, AVG, BUBBLESORT, 0.0001019
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.0001378
SIZE:100, AVG, INSERTIONSORT, 3.55e-05
SIZE:100, BEST, INSERTIONSORT, 1.8e-06
SIZE:100, WORST, INSERTIONSORT, 7.8e-05
SIZE:100, AVG, SELECTIONNSORT, 4.68e-05
SIZE:100, BEST, SELECTIONSORT, 4.08e-05
SIZE:100, WORST, SELECTIONNSORT, 4.43e-05
SIZE:100, AVG, QUICKSORT, 0.000577
SIZE:100, BEST, QUICKSORT, 0.0003593
SIZE:100, WORST, QUICKSORT, 0.0003527
SIZE:100, AVG, BUBBLESORT, 0.0001004
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001297
SIZE:100, AVG, INSERTIONSORT, 3.37e-05
SIZE:100, BEST, INSERTIONSORT, 1.8e-06
SIZE:100, WORST, INSERTIONSORT, 8.44e-05
SIZE:100, AVG, SELECTIONNSORT, 4.66e-05
SIZE:100, BEST, SELECTIONSORT, 4.08e-05
SIZE:100, WORST, SELECTIONNSORT, 4.63e-05
SIZE:100, AVG, QUICKSORT, 0.0005608
SIZE:100, BEST, QUICKSORT, 0.0003576
SIZE:100, WORST, QUICKSORT, 0.0003494
SIZE:100, AVG, BUBBLESORT, 0.0001116
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.0001294
SIZE:100, AVG, INSERTIONSORT, 3.94e-05
SIZE:100, BEST, INSERTIONSORT, 1.8e-06
SIZE:100, WORST, INSERTIONSORT, 7.77e-05
SIZE:100, AVG, SELECTIONNSORT, 4.63e-05
SIZE:100, BEST, SELECTIONSORT, 4.71e-05
SIZE:100, WORST, SELECTIONNSORT, 4.47e-05
SIZE:100, AVG, QUICKSORT, 0.0005827
SIZE:100, BEST, QUICKSORT, 0.0003601
SIZE:100, WORST, QUICKSORT, 0.0003528
SIZE:100, AVG, BUBBLESORT, 0.000122
SIZE:100, BEST, BUBBLESORT, 4e-07
